unix,date,symbol,open,high,low,close,Volume NEO,Volume USDT,tradecount
1.58933E+12,13-05-2020 00:00,NEO/USDT,10.001,10.477,9.812,10.285,543025.438,5510481.8,15971
1.58924E+12,12-05-2020 00:00,NEO/USDT,9.602,10.199,9.567,10.001,566131.999,5627356.742,18425
1.58916E+12,11-05-2020 00:00,NEO/USDT,9.708,10.216,9.256,9.629,955644.814,9312169.538,33069
1.58907E+12,10-05-2020 00:00,NEO/USDT,10.984,11.06,9.362,9.725,1800078.22,17947498.35,52128
1.58898E+12,09-05-2020 00:00,NEO/USDT,11.294,11.65,10.72,10.994,1513657.85,16987458.51,52877
1.5889E+12,08-05-2020 00:00,NEO/USDT,9.891,11.828,9.785,11.301,1453862.315,15687732.17,49756
1.58881E+12,07-05-2020 00:00,NEO/USDT,9.15,9.94,9.001,9.891,920851.299,8827777.101,30766
1.58872E+12,06-05-2020 00:00,NEO/USDT,9.111,9.488,8.99,9.148,637971.447,5919908.687,26578
1.58864E+12,05-05-2020 00:00,NEO/USDT,9,9.185,8.845,9.101,307640.716,2775985.525,12085
1.58855E+12,04-05-2020 00:00,NEO/USDT,9.078,9.134,8.61,9.005,446498.175,3971954.733,14201
1.58846E+12,03-05-2020 00:00,NEO/USDT,9.233,9.319,8.697,9.069,457269.971,4126377.025,16017
1.58838E+12,02-05-2020 00:00,NEO/USDT,9.01,9.265,8.928,9.225,300686.565,2735223.942,12167
1.58829E+12,01-05-2020 00:00,NEO/USDT,8.896,9.398,8.883,9.011,486684.584,4450618.724,19004
1.5882E+12,30-04-2020 00:00,NEO/USDT,9.204,9.641,8.617,8.897,919550.858,8408477.943,38770
1.58812E+12,29-04-2020 00:00,NEO/USDT,8.459,9.38,8.459,9.207,928595.897,8317676.399,33409
1.58803E+12,28-04-2020 00:00,NEO/USDT,8.427,8.6,8.252,8.457,320153.247,2700666.924,12640
1.58795E+12,27-04-2020 00:00,NEO/USDT,8.631,8.676,8.145,8.426,380481.38,3195657.722,16471
1.58786E+12,26-04-2020 00:00,NEO/USDT,8.431,8.687,8.295,8.631,509487.02,4333819.032,16594
1.58777E+12,25-04-2020 00:00,NEO/USDT,8.074,8.615,7.914,8.428,724063.739,6060974.729,19752
1.58769E+12,24-04-2020 00:00,NEO/USDT,7.847,8.298,7.827,8.07,692939.476,5630226.133,19510
1.5876E+12,23-04-2020 00:00,NEO/USDT,7.536,8.02,7.404,7.854,674723.314,5230979.553,19733
1.58751E+12,22-04-2020 00:00,NEO/USDT,7.227,7.631,7.201,7.534,420138.458,3119347.914,12111
1.58743E+12,21-04-2020 00:00,NEO/USDT,7.207,7.35,7.136,7.227,258030.007,1871651.182,8481
1.58734E+12,20-04-2020 00:00,NEO/USDT,7.608,7.817,7.118,7.205,586309.215,4376639.521,16433
1.58725E+12,19-04-2020 00:00,NEO/USDT,7.879,7.91,7.45,7.614,449485.134,3447267.563,12656
1.58717E+12,18-04-2020 00:00,NEO/USDT,7.459,7.939,7.456,7.877,383653.22,2968450.785,11994
1.58708E+12,17-04-2020 00:00,NEO/USDT,7.617,7.664,7.428,7.468,276405.07,2082005.903,9868
1.587E+12,16-04-2020 00:00,NEO/USDT,6.988,7.706,6.813,7.616,766669.279,5659571.86,24554
1.58691E+12,15-04-2020 00:00,NEO/USDT,7.252,7.376,6.965,6.993,319211.361,2284280.906,12482
1.58682E+12,14-04-2020 00:00,NEO/USDT,7.285,7.431,7.142,7.257,327038.201,2385341.492,10481
1.58674E+12,13-04-2020 00:00,NEO/USDT,7.361,7.361,7.007,7.281,365451.7,2625017.085,11164
1.58665E+12,12-04-2020 00:00,NEO/USDT,7.297,7.732,7.177,7.356,367512.298,2752190.026,11105
1.58656E+12,11-04-2020 00:00,NEO/USDT,7.302,7.536,7.139,7.306,282561.586,2071785.083,10002
1.58648E+12,10-04-2020 00:00,NEO/USDT,8.025,8.025,7.1,7.299,640460.972,4778468.083,19675
1.58639E+12,09-04-2020 00:00,NEO/USDT,8.001,8.151,7.792,8.019,448120.617,3588342.713,11701
1.5863E+12,08-04-2020 00:00,NEO/USDT,7.72,8.03,7.651,7.995,475242.689,3750956.231,12474
1.58622E+12,07-04-2020 00:00,NEO/USDT,7.818,8.16,7.458,7.721,898272.852,7065244.469,20603
1.58613E+12,06-04-2020 00:00,NEO/USDT,7.018,7.846,7.007,7.823,721498.396,5419056.037,17584
1.58604E+12,05-04-2020 00:00,NEO/USDT,7.198,7.243,6.89,7.017,271886.832,1914499.619,7099
1.58596E+12,04-04-2020 00:00,NEO/USDT,7.018,7.29,6.866,7.188,391297.512,2759868.116,11721
1.58587E+12,03-04-2020 00:00,NEO/USDT,6.978,7.236,6.86,7.02,415225.98,2922765.996,12101
1.58579E+12,02-04-2020 00:00,NEO/USDT,6.824,7.35,6.768,6.976,883506.775,6167534.483,19780
1.5857E+12,01-04-2020 00:00,NEO/USDT,6.774,6.84,6.401,6.812,584161.48,3867874.769,12321
1.58561E+12,31-03-2020 00:00,NEO/USDT,6.58,6.95,6.514,6.772,496543.315,3346208.038,11885
1.58553E+12,30-03-2020 00:00,NEO/USDT,6.192,6.754,6.171,6.568,405132.857,2640783.294,12143
1.58544E+12,29-03-2020 00:00,NEO/USDT,6.623,6.679,6.13,6.179,410248.693,2608308.431,12824
1.58535E+12,28-03-2020 00:00,NEO/USDT,6.502,6.707,6.225,6.628,592612.671,3804911.628,17647
1.58527E+12,27-03-2020 00:00,NEO/USDT,7.03,7.163,6.421,6.503,366841.818,2528402.532,12212
1.58518E+12,26-03-2020 00:00,NEO/USDT,6.936,7.05,6.72,7.03,347307.661,2378817.272,12189
1.58509E+12,25-03-2020 00:00,NEO/USDT,6.89,7.094,6.609,6.93,654530.313,4490507.379,19441
1.58501E+12,24-03-2020 00:00,NEO/USDT,6.678,6.978,6.525,6.897,884719.436,5990610.482,26717
1.58492E+12,23-03-2020 00:00,NEO/USDT,5.942,6.693,5.832,6.683,945219.246,5962394.565,25939
1.58484E+12,22-03-2020 00:00,NEO/USDT,6.226,6.468,5.862,5.947,802111.592,4914060.244,27289
1.58475E+12,21-03-2020 00:00,NEO/USDT,6.278,6.441,5.862,6.236,932710.154,5730235.508,28080
1.58466E+12,20-03-2020 00:00,NEO/USDT,6.462,7.2,5.701,6.273,1871897.66,12241011.12,47690
1.58458E+12,19-03-2020 00:00,NEO/USDT,5.718,6.82,5.671,6.472,1340815.003,8347937.447,29771
1.58449E+12,18-03-2020 00:00,NEO/USDT,5.631,5.742,5.34,5.726,640712.051,3552666.311,17785
1.5844E+12,17-03-2020 00:00,NEO/USDT,5.399,5.895,5.319,5.626,647732.849,3660130.97,21995
1.58432E+12,16-03-2020 00:00,NEO/USDT,5.979,5.979,4.904,5.394,1244540.967,6580220.9,41844
1.58423E+12,15-03-2020 00:00,NEO/USDT,5.753,6.4,5.674,5.979,698520.267,4202239.047,23786
1.58414E+12,14-03-2020 00:00,NEO/USDT,6.23,6.269,5.651,5.752,592554.218,3577002.881,22000
1.58406E+12,13-03-2020 00:00,NEO/USDT,5.687,6.773,3.89,6.216,2717799.359,15561838.96,98459
1.58397E+12,12-03-2020 00:00,NEO/USDT,9.436,9.585,5.43,5.706,2939317.592,20326056.8,82649
1.58388E+12,11-03-2020 00:00,NEO/USDT,9.858,9.998,8.77,9.43,902242.977,8528489.387,19744
1.5838E+12,10-03-2020 00:00,NEO/USDT,9.901,10.19,9.582,9.87,730960.309,7227544.538,17040
1.58371E+12,09-03-2020 00:00,NEO/USDT,10.053,10.345,9.389,9.902,1065184.461,10490892.7,28521
1.58363E+12,08-03-2020 00:00,NEO/USDT,11.592,11.592,9.884,10.05,824820.018,8851368.286,22381
1.58354E+12,07-03-2020 00:00,NEO/USDT,12.373,12.45,11.549,11.589,475034.736,5718393.421,13238
1.58345E+12,06-03-2020 00:00,NEO/USDT,12.055,12.385,11.927,12.377,374988.04,4556014.431,11168
1.58337E+12,05-03-2020 00:00,NEO/USDT,11.76,12.387,11.754,12.073,509714.211,6191591.586,14016
1.58328E+12,04-03-2020 00:00,NEO/USDT,11.557,12.055,11.49,11.755,351169.446,4135918.333,10565
