unix,date,symbol,open,high,low,close,Volume XLM,Volume USDT,tradecount
1.56928E+12,24-09-2019 00:00,XLM/USDT,0.06357,0.06511,0.05,0.05275,197872471.7,11570214.95,54324
1.5692E+12,23-09-2019 00:00,XLM/USDT,0.0683,0.06914,0.06324,0.0636,124503474.9,8262373.392,36271
1.56911E+12,22-09-2019 00:00,XLM/USDT,0.0697,0.06992,0.06652,0.0683,93855480.8,6391907.617,27406
1.56902E+12,21-09-2019 00:00,XLM/USDT,0.072,0.0738,0.06682,0.06968,148101053.2,10583466.87,35349
1.56894E+12,20-09-2019 00:00,XLM/USDT,0.08072,0.08081,0.07042,0.072,259952506.5,19445989.27,69107
1.56885E+12,19-09-2019 00:00,XLM/USDT,0.0826,0.08869,0.07415,0.08072,436805966.5,35619609.51,133770
1.56876E+12,18-09-2019 00:00,XLM/USDT,0.06345,0.089,0.06344,0.08257,336833116.5,26264140.82,97472
1.56868E+12,17-09-2019 00:00,XLM/USDT,0.05864,0.0667,0.05804,0.06347,71671517.6,4436908.015,25233
1.56859E+12,16-09-2019 00:00,XLM/USDT,0.05823,0.05908,0.05795,0.05864,20786334,1216773.114,8335
1.56851E+12,15-09-2019 00:00,XLM/USDT,0.05866,0.0589,0.05809,0.05825,12937024.4,756606.3775,6117
1.56842E+12,14-09-2019 00:00,XLM/USDT,0.05779,0.05943,0.05709,0.05868,37664501.7,2187074.628,13955
1.56833E+12,13-09-2019 00:00,XLM/USDT,0.05829,0.05871,0.05739,0.05777,26124575.9,1514489.832,11088
1.56825E+12,12-09-2019 00:00,XLM/USDT,0.05867,0.05887,0.05765,0.05829,22001793.6,1279490.094,9053
1.56816E+12,11-09-2019 00:00,XLM/USDT,0.05962,0.06032,0.05812,0.05859,17529647,1033261.989,8948
1.56807E+12,10-09-2019 00:00,XLM/USDT,0.06024,0.06112,0.059,0.05963,27427095,1656861.201,10433
1.56799E+12,09-09-2019 00:00,XLM/USDT,0.061,0.06169,0.0594,0.06021,29062257.2,1758354.801,11619
1.5679E+12,08-09-2019 00:00,XLM/USDT,0.0605,0.06178,0.0599,0.06105,18420380.7,1124147.479,7868
1.56781E+12,07-09-2019 00:00,XLM/USDT,0.058,0.06108,0.05788,0.06053,19328421.3,1154718.659,8688
1.56773E+12,06-09-2019 00:00,XLM/USDT,0.06024,0.061,0.05768,0.05801,24204438.4,1437759.186,9879
1.56764E+12,05-09-2019 00:00,XLM/USDT,0.06176,0.06202,0.05988,0.06026,16559115.4,1007592.749,7239
1.56756E+12,04-09-2019 00:00,XLM/USDT,0.06304,0.06306,0.06129,0.06168,10463344.3,649084.3998,6030
1.56747E+12,03-09-2019 00:00,XLM/USDT,0.06297,0.06409,0.06236,0.06308,12561061.9,792032.6879,5918
1.56738E+12,02-09-2019 00:00,XLM/USDT,0.06212,0.06363,0.06108,0.06301,9321519.8,581049.6543,5214
