unix,date,symbol,open,high,low,close,Volume XRP,Volume USDT,tradecount
1.57084E+12,12-10-2019 00:00,XRP/USDT,0.26741,0.27729,0.26712,0.27226,57869923.4,15793462.49,60193
1.57075E+12,11-10-2019 00:00,XRP/USDT,0.27021,0.27485,0.26431,0.26743,71539111.7,19245009.01,69160
1.57067E+12,10-10-2019 00:00,XRP/USDT,0.28089,0.28168,0.26455,0.27021,80850590.7,22049865.1,68618
1.57058E+12,09-10-2019 00:00,XRP/USDT,0.2774,0.28693,0.27358,0.28082,105865868.2,29652647.36,87688
1.57049E+12,08-10-2019 00:00,XRP/USDT,0.27584,0.28548,0.27062,0.2774,121934629.7,33759866.37,84685
1.57041E+12,07-10-2019 00:00,XRP/USDT,0.25551,0.28114,0.25333,0.27592,210990372.8,57283043.35,126843
1.57032E+12,06-10-2019 00:00,XRP/USDT,0.25325,0.25634,0.2506,0.25552,63421400.1,16049454.66,57675
1.57023E+12,05-10-2019 00:00,XRP/USDT,0.2525,0.2566,0.24671,0.25325,82519531.3,20818475.3,57881
1.57015E+12,04-10-2019 00:00,XRP/USDT,0.24687,0.25664,0.2445,0.25243,90663663.4,22794419.62,54119
1.57006E+12,03-10-2019 00:00,XRP/USDT,0.25248,0.25305,0.24159,0.24674,71409676.9,17609786.13,41656
1.56997E+12,02-10-2019 00:00,XRP/USDT,0.24787,0.25481,0.24421,0.25247,97406245.2,24270217.96,54979
1.56989E+12,01-10-2019 00:00,XRP/USDT,0.25659,0.261,0.24441,0.24788,125393526.7,31747823.25,77751
1.5698E+12,30-09-2019 00:00,XRP/USDT,0.24024,0.26192,0.2354,0.2566,156913857,39681370.17,104760
1.56972E+12,29-09-2019 00:00,XRP/USDT,0.24165,0.24261,0.23427,0.24024,43877272.4,10450612.05,40201
1.56963E+12,28-09-2019 00:00,XRP/USDT,0.24209,0.24433,0.238,0.24163,45238244.9,10912438.14,40609
1.56954E+12,27-09-2019 00:00,XRP/USDT,0.2423,0.248,0.23296,0.24208,89138447.6,21396438.05,61732
